훈련과정명(정답라벨),빈도,비중
MES 이해,55,22%
4차 산업혁명과 디지털전환,43,17%
스마트제조 이해,31,12%
MES 운영실무,23,9%
MES 기초,12,5%
인공지능 이해,11,4%
빅데이터 기술 이해,8,3%
K-플랫폼컨설팅및훈련교육,3,1%
제조실행시스템운영을통한생산성및품질향상,3,1%
MES 실무,2,1%
MES 통합 실무,2,1%
스마트 제조의 이해,2,1%
스마트 팩토리 도입 조건과 구축 방법,2,1%
스마트공장 계획,2,1%
스마트제조 이해 현업 적용도,2,1%
스마트제조의이해및MES개요,2,1%
제조실행시스템 운영을 통한 제조현장 생산관리,2,1%
4차 산업혁명과 Digital Transformation,1,0%
4차 산업혁명과 디지털전환 제4차 산업혁명과 첨단기술,1,0%
4차 산업혁명과 스마트제조에서 DX 전환 사례 소개,1,0%
4차 산업혁명과 스마트팩토리,1,0%
4차산업혁명과 MES이해,1,0%
4차산업혁명과 로봇기술,1,0%
5차산업혁명과 로봇기술,1,0%
AI기반의 지식공유를 위한 기업 관점에서 ChatGPT활용 가이드,1,0%
AI기반의 지식공유를 통한 WPS & PQR 활용 가이드,1,0%
CNC선반의 기초 이론,1,0%
CNC선반의 프로그램 교육,1,0%
DT,1,0%
MES 설비 관리와 예지 보전,1,0%
MES 시스템의 주요 핵심 실행과제 이해,1,0%
MES개념과 T-MOLD 설계 시스템,1,0%
MES개념과 생산관리,1,0%
MES개념과 제조 현장 데이터 수집,1,0%
MES시스템 성과 지표 관리,1,0%
MES시스템을 활용한 설비보전 관리,1,0%
MES시스템의 데이터수집 방안,1,0%
MES시스템의 물류관리,1,0%
기초) 빅데이터 기술 이해,1,0%
디지털전환 개념 교육,1,0%
미래산업과 사물인터넷,1,0%
범용밀링의 기초 이론,1,0%
범용선반의 기초 이론,1,0%
빅데이터 기술에 대한 이해,1,0%
빅데이터에 대한 이해,1,0%
스마트 Factory 구축방법과 MES 데이터 수집방법,1,0%
스마트 Factory 구축방법과 MES 이해,1,0%
스마트 공장 고도화 구축 전략,1,0%
스마트 공장에 대한 이해,1,0%
스마트 팩토리 구축 방법과 구축 사례,1,0%
스마트공장 MES이해,1,0%
스마트공장 구축관련 사전 준비사항,1,0%
스마트공장 기반 금형관리시스템 이해와 활용,1,0%
스마트공장제조실행시스템이해및활용교육,1,0%
유통산업의 인공지능 활용 이해,1,0%
인공지능의 이해,1,0%
제조실행시스템-MES 기준정보 관리,1,0%
제조실행시스템-MES 생산관리,1,0%
제조실행시스템 운영을 통한 금형제작 생산관리 및 품질 관리,1,0%
제조실행시스템운영을통한데이터수집방안및제조현장생산관리,1,0%
제조실행시스템운영을통한데이터운영및설비의생산성향상,1,0%
제조실행시스템운영을통한생산성및설비보전관리향상,1,0%
제조실행시스템운영을통한유압브레이크생산및품질관리,1,0%
제조실행시스템운영을통한필름가공생산성및품질향상,1,0%
제조현장 중심 스마트 공장 고도화 전략 수립,1,0%
제조현장 중심 스마트 공장 운영 관리,1,0%
계,254,100%
