트랙ID,트랙명,트랙설명,과정순서,과정명
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",1,4차산업혁명과 MES이해
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",2,스마트제조 이해
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",3,스마트제조 이해 현업 적용도
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",4,스마트제조의이해및MES개요
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",5,4차 산업혁명과 Digital Transformation
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",6,4차 산업혁명과 디지털전환
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",7,4차 산업혁명과 디지털전환 제4차 산업혁명과 첨단기술
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",8,4차 산업혁명과 스마트제조에서 DX 전환 사례 소개
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",9,DT
T1,DX·스마트제조 전략/입문,"디지털전환(DX) 개념, 4/5차 산업혁명 트렌드, 스마트제조/스마트팩토리의 큰 그림과 사례 중심.",10,디지털전환 개념 교육
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,1,기초
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,2,스마트 공장에 대한 이해
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,3,스마트 제조의 이해
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,4,스마트 공장 고도화 구축 전략
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,5,스마트 팩토리 구축 방법과 구축 사례
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,6,스마트 팩토리 도입 조건과 구축 방법
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,7,제조현장 중심 스마트 공장 고도화 전략 수립
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,8,제조현장 중심 스마트 공장 운영 관리
T10,공통·컨설팅/기타,플랫폼 컨설팅/오리엔테이션 등 공통 과정 및 기타 분류.,9,K-플랫폼컨설팅및훈련교육
T2,스마트공장 추진·구축·운영,"스마트공장 계획 수립부터 구축 방법론, 운영 관리, 데이터 수집 체계까지 실행 중심.",1,스마트공장 MES이해
T2,스마트공장 추진·구축·운영,"스마트공장 계획 수립부터 구축 방법론, 운영 관리, 데이터 수집 체계까지 실행 중심.",2,스마트공장 기반 금형관리시스템 이해와 활용
T2,스마트공장 추진·구축·운영,"스마트공장 계획 수립부터 구축 방법론, 운영 관리, 데이터 수집 체계까지 실행 중심.",3,스마트공장제조실행시스템이해및활용교육
T2,스마트공장 추진·구축·운영,"스마트공장 계획 수립부터 구축 방법론, 운영 관리, 데이터 수집 체계까지 실행 중심.",4,스마트공장 계획
T2,스마트공장 추진·구축·운영,"스마트공장 계획 수립부터 구축 방법론, 운영 관리, 데이터 수집 체계까지 실행 중심.",5,스마트공장 구축관련 사전 준비사항
T2,스마트공장 추진·구축·운영,"스마트공장 계획 수립부터 구축 방법론, 운영 관리, 데이터 수집 체계까지 실행 중심.",6,4차 산업혁명과 스마트팩토리
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,1,MES 기초
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,2,MES 시스템의 주요 핵심 실행과제 이해
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,3,MES 이해
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,4,스마트 Factory 구축방법과 MES 이해
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,5,MES 실무
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,6,MES 운영실무
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,7,MES개념과 생산관리
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,8,제조실행시스템 운영을 통한 제조현장 생산관리
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,9,제조실행시스템-MES 생산관리
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,10,제조실행시스템운영을통한생산성및품질향상
T3,MES 기본(이해→운영),MES 개념/기초 이해 후 운영 실무로 연결되는 핵심 선수-후수 트랙.,11,제조실행시스템운영을통한유압브레이크생산및품질관리
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",1,스마트 Factory 구축방법과 MES 데이터 수집방법
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",2,MES 설비 관리와 예지 보전
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",3,MES 통합 실무
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",4,MES시스템 성과 지표 관리
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",5,MES시스템을 활용한 설비보전 관리
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",6,MES시스템의 물류관리
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",7,제조실행시스템-MES 기준정보 관리
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",8,제조실행시스템운영을통한데이터수집방안및제조현장생산관리
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",9,제조실행시스템운영을통한데이터운영및설비의생산성향상
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",10,제조실행시스템운영을통한생산성및설비보전관리향상
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",11,MES개념과 제조 현장 데이터 수집
T4,MES 고도화(통합·데이터·KPI·보전),"MES 통합, 기준정보/물류/데이터수집, 성과지표(KPI), 설비보전·예지보전 등 확장 모듈.",12,MES시스템의 데이터수집 방안
T5,데이터·빅데이터 활용,빅데이터 기술 이해부터 서비스 기획/환경분석 등 활용 시나리오 중심.,1,기초) 빅데이터 기술 이해
